port,transport,service
2899,tcp,powergemplus
2900,udp,quicksuite
2900,tcp,quicksuite
2901,udp,allstorcns
2901,tcp,allstorcns
2902,udp,netaspi
2902,tcp,netaspi
2903,udp,suitcase
2903,tcp,suitcase
2904,sctp,m2ua
2904,udp,m2ua
2904,tcp,m2ua
2905,sctp,m3ua
2905,udp,m3ua
2905,tcp,m3ua
2906,udp,caller9
2906,tcp,caller9
2907,udp,webmethods-b2b
2907,tcp,webmethods-b2b
2908,udp,mao
2908,tcp,mao
2909,udp,funk-dialout
2909,tcp,funk-dialout
2910,udp,tdaccess
2910,tcp,tdaccess
2911,udp,blockade
2911,tcp,blockade
2912,udp,epicon
2912,tcp,epicon
2913,udp,boosterware
2913,tcp,boosterware
2914,udp,gamelobby
2914,tcp,gamelobby
2915,udp,tksocket
2915,tcp,tksocket
2916,udp,elvin_server
2916,tcp,elvin_server
2917,udp,elvin_client
2917,tcp,elvin_client
2918,udp,kastenchasepad
2918,tcp,kastenchasepad
2919,udp,roboer
2919,tcp,roboer
2920,udp,roboeda
2920,tcp,roboeda
2921,udp,cesdcdman
2921,tcp,cesdcdman
2922,udp,cesdcdtrn
2922,tcp,cesdcdtrn
2923,udp,wta-wsp-wtp-s
2923,tcp,wta-wsp-wtp-s
2924,udp,precise-vip
2924,tcp,precise-vip
2926,udp,mobile-file-dl
2926,tcp,mobile-file-dl
2927,udp,unimobilectrl
2927,tcp,unimobilectrl
2928,udp,redstone-cpss
2928,tcp,redstone-cpss
2929,udp,amx-webadmin
2929,tcp,amx-webadmin
2930,udp,amx-weblinx
2930,tcp,amx-weblinx
2931,udp,circle-x
2931,tcp,circle-x
2932,udp,incp
2932,tcp,incp
2933,udp,4-tieropmgw
2933,tcp,4-tieropmgw
2934,udp,4-tieropmcli
2934,tcp,4-tieropmcli
2935,udp,qtp
2935,tcp,qtp
2936,udp,otpatch
2936,tcp,otpatch
2937,udp,pnaconsult-lm
2937,tcp,pnaconsult-lm
2938,udp,sm-pas-1
2938,tcp,sm-pas-1
2939,udp,sm-pas-2
2939,tcp,sm-pas-2
2940,udp,sm-pas-3
2940,tcp,sm-pas-3
2941,udp,sm-pas-4
2941,tcp,sm-pas-4
2942,udp,sm-pas-5
2942,tcp,sm-pas-5
2943,udp,ttnrepository
2943,tcp,ttnrepository
2944,udp,megaco-h248
2944,tcp,megaco-h248
2945,udp,h248-binary
2945,tcp,h248-binary
2946,udp,fjsvmpor
2946,tcp,fjsvmpor
2947,udp,gpsd
2947,tcp,gpsd
2948,udp,wap-push
2948,tcp,wap-push
2949,udp,wap-pushsecure
2949,tcp,wap-pushsecure
2950,udp,esip
2950,tcp,esip
2951,udp,ottp
2951,tcp,ottp
2952,udp,mpfwsas
2952,tcp,mpfwsas
2953,udp,ovalarmsrv
2953,tcp,ovalarmsrv
2954,udp,ovalarmsrv-cmd
2954,tcp,ovalarmsrv-cmd
2955,udp,csnotify
2955,tcp,csnotify
2956,udp,ovrimosdbman
2956,tcp,ovrimosdbman
2957,udp,jmact5
2957,tcp,jmact5
2958,udp,jmact6
2958,tcp,jmact6
2959,udp,rmopagt
2959,tcp,rmopagt
2960,udp,dfoxserver
2960,tcp,dfoxserver
2961,udp,boldsoft-lm
2961,tcp,boldsoft-lm
2962,udp,iph-policy-cli
2962,tcp,iph-policy-cli
2963,udp,iph-policy-adm
2963,tcp,iph-policy-adm
2964,udp,bullant-srap
2964,tcp,bullant-srap
2965,udp,bullant-rap
2965,tcp,bullant-rap
2966,udp,idp-infotrieve
2966,tcp,idp-infotrieve
2967,udp,ssc-agent
2967,tcp,ssc-agent
2968,udp,enpp
2968,tcp,enpp
2969,udp,essp
2969,tcp,essp
2970,udp,index-net
2970,tcp,index-net
2971,udp,netclip
2971,tcp,netclip
2972,udp,pmsm-webrctl
2972,tcp,pmsm-webrctl
2973,udp,svnetworks
2973,tcp,svnetworks
2974,udp,signal
2974,tcp,signal
2975,udp,fjmpcm
2975,tcp,fjmpcm
2976,udp,cns-srv-port
2976,tcp,cns-srv-port
2977,udp,ttc-etap-ns
2977,tcp,ttc-etap-ns
2978,udp,ttc-etap-ds
2978,tcp,ttc-etap-ds
2979,udp,h263-video
2979,tcp,h263-video
2980,udp,wimd
2980,tcp,wimd
2981,udp,mylxamport
2981,tcp,mylxamport
2982,udp,iwb-whiteboard
2982,tcp,iwb-whiteboard
2983,udp,netplan
2983,tcp,netplan
2984,udp,hpidsadmin
2984,tcp,hpidsadmin
2985,udp,hpidsagent
2985,tcp,hpidsagent
2986,udp,stonefalls
2986,tcp,stonefalls
2987,udp,identify
2987,tcp,identify
2988,udp,hippad
2988,tcp,hippad
2989,udp,zarkov
2989,tcp,zarkov
2990,udp,boscap
2990,tcp,boscap
2991,udp,wkstn-mon
2991,tcp,wkstn-mon
2992,udp,itb301
2992,tcp,itb301
2993,udp,veritas-vis1
2993,tcp,veritas-vis1
2994,udp,veritas-vis2
2994,tcp,veritas-vis2
2995,udp,idrs
2995,tcp,idrs
2996,udp,vsixml
2996,tcp,vsixml
2997,udp,rebol
2997,tcp,rebol
2998,udp,realsecure
2998,tcp,realsecure
2999,udp,remoteware-un
2999,tcp,remoteware-un
3000,udp,hbci
3000,tcp,hbci
3000,udp,remoteware-cl
3000,tcp,remoteware-cl
3001,udp,redwood-broker
3001,tcp,redwood-broker
3002,udp,exlm-agent
3002,tcp,exlm-agent
3002,udp,remoteware-srv
3002,tcp,remoteware-srv
3003,udp,cgms
3003,tcp,cgms
3004,udp,csoftragent
3004,tcp,csoftragent
3005,udp,geniuslm
3005,tcp,geniuslm
3006,udp,ii-admin
3006,tcp,ii-admin
3007,udp,lotusmtap
3007,tcp,lotusmtap
3008,udp,midnight-tech
3008,tcp,midnight-tech
3009,udp,pxc-ntfy
3009,tcp,pxc-ntfy
3010,udp,ping-pong
3010,tcp,gw
3011,udp,trusted-web
3011,tcp,trusted-web
3012,udp,twsdss
3012,tcp,twsdss
3013,udp,gilatskysurfer
3013,tcp,gilatskysurfer
3014,udp,broker_service
3014,tcp,broker_service
3015,udp,nati-dstp
3015,tcp,nati-dstp
3016,udp,notify_srvr
3016,tcp,notify_srvr
3017,udp,event_listener
3017,tcp,event_listener
3018,udp,srvc_registry
3018,tcp,srvc_registry
3019,udp,resource_mgr
3019,tcp,resource_mgr
3020,udp,cifs
3020,tcp,cifs
3021,udp,agriserver
3021,tcp,agriserver
3022,udp,csregagent
3022,tcp,csregagent
3023,udp,magicnotes
3023,tcp,magicnotes
3024,udp,nds_sso
3024,tcp,nds_sso
3025,udp,arepa-raft
3025,tcp,arepa-raft
3026,udp,agri-gateway
3026,tcp,agri-gateway
3027,udp,LiebDevMgmt_C
3027,tcp,LiebDevMgmt_C
3028,udp,LiebDevMgmt_DM
3028,tcp,LiebDevMgmt_DM
3029,udp,LiebDevMgmt_A
3029,tcp,LiebDevMgmt_A
3030,udp,arepa-cas
3030,tcp,arepa-cas
3031,udp,eppc
3031,tcp,eppc
3032,udp,redwood-chat
3032,tcp,redwood-chat
3033,udp,pdb
3033,tcp,pdb
3034,udp,osmosis-aeea
3034,tcp,osmosis-aeea
3035,udp,fjsv-gssagt
3035,tcp,fjsv-gssagt
3036,udp,hagel-dump
3036,tcp,hagel-dump
3037,udp,hp-san-mgmt
3037,tcp,hp-san-mgmt
3038,udp,santak-ups
3038,tcp,santak-ups
3039,udp,cogitate
3039,tcp,cogitate
3040,udp,tomato-springs
3040,tcp,tomato-springs
3041,udp,di-traceware
3041,tcp,di-traceware
3042,udp,journee
3042,tcp,journee
3043,udp,brp
3043,tcp,brp
3044,udp,epp
3044,tcp,epp
3045,udp,responsenet
3045,tcp,responsenet
3046,udp,di-ase
3046,tcp,di-ase
3047,udp,hlserver
3047,tcp,hlserver
3048,udp,pctrader
3048,tcp,pctrader
3049,udp,nsws
3049,tcp,nsws
3050,udp,gds_db
3050,tcp,gds_db
3051,udp,galaxy-server
3051,tcp,galaxy-server
3052,udp,apc-3052
3052,tcp,apc-3052
3053,udp,dsom-server
3053,tcp,dsom-server
3054,udp,amt-cnf-prot
3054,tcp,amt-cnf-prot
3055,udp,policyserver
3055,tcp,policyserver
3056,udp,cdl-server
3056,tcp,cdl-server
3057,udp,goahead-fldup
3057,tcp,goahead-fldup
3058,udp,videobeans
3058,tcp,videobeans
3059,udp,qsoft
3059,tcp,qsoft
3060,udp,interserver
3060,tcp,interserver
3061,udp,cautcpd
3061,tcp,cautcpd
3062,udp,ncacn-ip-tcp
3062,tcp,ncacn-ip-tcp
3063,udp,ncadg-ip-udp
3063,tcp,ncadg-ip-udp
3064,udp,rprt
3064,tcp,rprt
3065,udp,slinterbase
3065,tcp,slinterbase
3066,udp,netattachsdmp
3066,tcp,netattachsdmp
3067,udp,fjhpjp
3067,tcp,fjhpjp
3068,udp,ls3bcast
3068,tcp,ls3bcast
3069,udp,ls3
3069,tcp,ls3
3070,udp,mgxswitch
3070,tcp,mgxswitch
3071,udp,csd-mgmt-port
3071,tcp,csd-mgmt-port
3072,udp,csd-monitor
3072,tcp,csd-monitor
3073,udp,vcrp
3073,tcp,vcrp
3074,udp,xbox
3074,tcp,xbox
3075,udp,orbix-locator
3075,tcp,orbix-locator
3076,udp,orbix-config
3076,tcp,orbix-config
3077,udp,orbix-loc-ssl
3077,tcp,orbix-loc-ssl
3078,udp,orbix-cfg-ssl
3078,tcp,orbix-cfg-ssl
3079,udp,lv-frontpanel
3079,tcp,lv-frontpanel
3080,udp,stm_pproc
3080,tcp,stm_pproc
3081,udp,tl1-lv
3081,tcp,tl1-lv
3082,udp,tl1-raw
3082,tcp,tl1-raw
3083,udp,tl1-telnet
3083,tcp,tl1-telnet
3084,udp,itm-mccs
3084,tcp,itm-mccs
3085,udp,pcihreq
3085,tcp,pcihreq
3086,udp,jdl-dbkitchen
3086,tcp,jdl-dbkitchen
3087,udp,asoki-sma
3087,tcp,asoki-sma
3088,udp,xdtp
3088,tcp,xdtp
3089,udp,ptk-alink
3089,tcp,ptk-alink
3090,udp,rtss
3090,tcp,rtss
3091,udp,1ci-smcs
3091,tcp,1ci-smcs
3092,udp,njfss
3092,tcp,njfss
3093,udp,rapidmq-center
3093,tcp,rapidmq-center
3094,udp,rapidmq-reg
3094,tcp,rapidmq-reg
3095,udp,panasas
3095,tcp,panasas
3096,udp,ndl-aps
3096,tcp,ndl-aps
3097,sctp,itu-bicc-stc
3098,udp,umm-port
3098,tcp,umm-port
3099,udp,chmd
3099,tcp,chmd
3100,udp,opcon-xps
3100,tcp,opcon-xps
3101,udp,hp-pxpib
3101,tcp,hp-pxpib
3102,udp,slslavemon
3102,tcp,slslavemon
3103,udp,autocuesmi
3103,tcp,autocuesmi
3104,udp,autocuetime
3104,tcp,autocuelog
3105,udp,cardbox
3105,tcp,cardbox
3106,udp,cardbox-http
3106,tcp,cardbox-http
3107,udp,business
3107,tcp,business
3108,udp,geolocate
3108,tcp,geolocate
3109,udp,personnel
3109,tcp,personnel
3110,udp,sim-control
3110,tcp,sim-control
3111,udp,wsynch
3111,tcp,wsynch
3112,udp,ksysguard
3112,tcp,ksysguard
3113,udp,cs-auth-svr
3113,tcp,cs-auth-svr
3114,udp,ccmad
3114,tcp,ccmad
3115,udp,mctet-master
3115,tcp,mctet-master
3116,udp,mctet-gateway
3116,tcp,mctet-gateway
3117,udp,mctet-jserv
3117,tcp,mctet-jserv
3118,udp,pkagent
3118,tcp,pkagent
3119,udp,d2000kernel
3119,tcp,d2000kernel
3120,udp,d2000webserver
3120,tcp,d2000webserver
3121,udp,epp-temp
3121,tcp,epp-temp
3122,udp,vtr-emulator
3122,tcp,vtr-emulator
3123,udp,edix
3123,tcp,edix
3124,udp,beacon-port
3124,tcp,beacon-port
3125,udp,a13-an
3125,tcp,a13-an
3126,udp,ms-dotnetster
3126,tcp,ms-dotnetster
3127,udp,ctx-bridge
3127,tcp,ctx-bridge
3128,udp,ndl-aas
3128,tcp,ndl-aas
3129,udp,netport-id
3129,tcp,netport-id
3130,udp,icpv2
3130,tcp,icpv2
3131,udp,netbookmark
3131,tcp,netbookmark
3132,udp,ms-rule-engine
3132,tcp,ms-rule-engine
3133,udp,prism-deploy
3133,tcp,prism-deploy
3134,udp,ecp
3134,tcp,ecp
3135,udp,peerbook-port
3135,tcp,peerbook-port
3136,udp,grubd
3136,tcp,grubd
3137,udp,rtnt-1
3137,tcp,rtnt-1
3138,udp,rtnt-2
3138,tcp,rtnt-2
3139,udp,incognitorv
3139,tcp,incognitorv
3140,udp,ariliamulti
3140,tcp,ariliamulti
3141,udp,vmodem
3141,tcp,vmodem
3142,udp,rdc-wh-eos
3142,tcp,rdc-wh-eos
3143,udp,seaview
3143,tcp,seaview
3144,udp,tarantella
3144,tcp,tarantella
3145,udp,csi-lfap
3145,tcp,csi-lfap
3146,udp,bears-02
3146,tcp,bears-02
3147,udp,rfio
3147,tcp,rfio
3148,udp,nm-game-admin
3148,tcp,nm-game-admin
3149,udp,nm-game-server
3149,tcp,nm-game-server
3150,udp,nm-asses-admin
3150,tcp,nm-asses-admin
3151,udp,nm-assessor
3151,tcp,nm-assessor
3152,udp,feitianrockey
3152,tcp,feitianrockey
3153,udp,s8-client-port
3153,tcp,s8-client-port
3154,udp,ccmrmi
3154,tcp,ccmrmi
3155,udp,jpegmpeg
3155,tcp,jpegmpeg
3156,udp,indura
3156,tcp,indura
3157,udp,e3consultants
3157,tcp,e3consultants
3158,udp,stvp
3158,tcp,stvp
3159,udp,navegaweb-port
3159,tcp,navegaweb-port
3160,udp,tip-app-server
3160,tcp,tip-app-server
3161,udp,doc1lm
3161,tcp,doc1lm
3162,udp,sflm
3162,tcp,sflm
3163,udp,res-sap
3163,tcp,res-sap
3164,udp,imprs
3164,tcp,imprs
3165,udp,newgenpay
3165,tcp,newgenpay
3166,udp,qrepos
3166,tcp,qrepos
3167,udp,poweroncontact
3167,tcp,poweroncontact
3168,udp,poweronnud
3168,tcp,poweronnud
3169,udp,serverview-as
3169,tcp,serverview-as
3170,udp,serverview-asn
3170,tcp,serverview-asn
3171,udp,serverview-gf
3171,tcp,serverview-gf
3172,udp,serverview-rm
3172,tcp,serverview-rm
3173,udp,serverview-icc
3173,tcp,serverview-icc
3174,udp,armi-server
3174,tcp,armi-server
3175,udp,t1-e1-over-ip
3175,tcp,t1-e1-over-ip
3176,udp,ars-master
3176,tcp,ars-master
3177,udp,phonex-port
3177,tcp,phonex-port
3178,udp,radclientport
3178,tcp,radclientport
3179,udp,h2gf-w-2m
3179,tcp,h2gf-w-2m
3180,udp,mc-brk-srv
3180,tcp,mc-brk-srv
3181,udp,bmcpatrolagent
3181,tcp,bmcpatrolagent
3182,udp,bmcpatrolrnvu
3182,tcp,bmcpatrolrnvu
3183,udp,cops-tls
3183,tcp,cops-tls
3184,udp,apogeex-port
3184,tcp,apogeex-port
3185,udp,smpppd
3185,tcp,smpppd
3186,udp,iiw-port
3186,tcp,iiw-port
3187,udp,odi-port
3187,tcp,odi-port
3188,udp,brcm-comm-port
3188,tcp,brcm-comm-port
3189,udp,pcle-infex
3189,tcp,pcle-infex
3190,udp,csvr-proxy
3190,tcp,csvr-proxy
3191,udp,csvr-sslproxy
3191,tcp,csvr-sslproxy
3192,udp,firemonrcc
3192,tcp,firemonrcc
3193,udp,cordataport
3193,tcp,cordataport
3194,udp,magbind
3194,tcp,magbind
3195,udp,ncu-1
3195,tcp,ncu-1
3196,udp,ncu-2
3196,tcp,ncu-2
3197,udp,embrace-dp-s
3197,tcp,embrace-dp-s
3198,udp,embrace-dp-c
3198,tcp,embrace-dp-c
3199,udp,dmod-workspace
3199,tcp,dmod-workspace
3200,udp,tick-port
3200,tcp,tick-port
3201,udp,cpq-tasksmart
3201,tcp,cpq-tasksmart
3202,udp,intraintra
3202,tcp,intraintra
3203,udp,netwatcher-mon
3203,tcp,netwatcher-mon
3204,udp,netwatcher-db
3204,tcp,netwatcher-db
3205,udp,isns
3205,tcp,isns
3206,udp,ironmail
3206,tcp,ironmail
3207,udp,vx-auth-port
3207,tcp,vx-auth-port
3208,udp,pfu-prcallback
3208,tcp,pfu-prcallback
3209,udp,netwkpathengine
3209,tcp,netwkpathengine
3210,udp,flamenco-proxy
3210,tcp,flamenco-proxy
3211,udp,avsecuremgmt
3211,tcp,avsecuremgmt
3212,udp,surveyinst
3212,tcp,surveyinst
3213,udp,neon24x7
3213,tcp,neon24x7
3214,udp,jmq-daemon-1
3214,tcp,jmq-daemon-1
3215,udp,jmq-daemon-2
3215,tcp,jmq-daemon-2
3216,udp,ferrari-foam
3216,tcp,ferrari-foam
3217,udp,unite
3217,tcp,unite
3218,udp,smartpackets
3218,tcp,smartpackets
3219,udp,wms-messenger
3219,tcp,wms-messenger
3220,udp,xnm-ssl
3220,tcp,xnm-ssl
3221,udp,xnm-clear-text
3221,tcp,xnm-clear-text
3222,udp,glbp
3222,tcp,glbp
3223,udp,digivote
3223,tcp,digivote
3224,udp,aes-discovery
3224,tcp,aes-discovery
3225,udp,fcip-port
3225,tcp,fcip-port
3226,udp,isi-irp
3226,tcp,isi-irp
3227,udp,dwnmshttp
3227,tcp,dwnmshttp
3228,udp,dwmsgserver
3228,tcp,dwmsgserver
3229,udp,global-cd-port
3229,tcp,global-cd-port
3230,udp,sftdst-port
3230,tcp,sftdst-port
3231,udp,dsnl
3231,tcp,dsnl
3232,udp,mdtp
3232,tcp,mdtp
3233,udp,whisker
3233,tcp,whisker
3234,udp,alchemy
3234,tcp,alchemy
3235,udp,mdap-port
3235,tcp,mdap-port
3236,udp,apparenet-ts
3236,tcp,apparenet-ts
3237,udp,apparenet-tps
3237,tcp,apparenet-tps
3238,udp,apparenet-as
3238,tcp,apparenet-as
3239,udp,apparenet-ui
3239,tcp,apparenet-ui
3240,udp,triomotion
3240,tcp,triomotion
3241,udp,sysorb
3241,tcp,sysorb
3242,udp,sdp-id-port
3242,tcp,sdp-id-port
3243,udp,timelot
3243,tcp,timelot
3244,udp,onesaf
3244,tcp,onesaf
3245,udp,vieo-fe
3245,tcp,vieo-fe
3246,udp,dvt-system
3246,tcp,dvt-system
3247,udp,dvt-data
3247,tcp,dvt-data
3248,udp,procos-lm
3248,tcp,procos-lm
3249,udp,ssp
3249,tcp,ssp
3250,udp,hicp
3250,tcp,hicp
3251,udp,sysscanner
3251,tcp,sysscanner
3252,udp,dhe
3252,tcp,dhe
3253,udp,pda-data
3253,tcp,pda-data
3254,udp,pda-sys
3254,tcp,pda-sys
3255,udp,semaphore
3255,tcp,semaphore
3256,udp,cpqrpm-agent
3256,tcp,cpqrpm-agent
3257,udp,cpqrpm-server
3257,tcp,cpqrpm-server
3258,udp,ivecon-port
3258,tcp,ivecon-port
3259,udp,epncdp2
3259,tcp,epncdp2
3260,udp,iscsi-target
3260,tcp,iscsi-target
3261,udp,winshadow
3261,tcp,winshadow
3262,udp,necp
3262,tcp,necp
3263,udp,ecolor-imager
3263,tcp,ecolor-imager
3264,udp,ccmail
3264,tcp,ccmail
3265,udp,altav-tunnel
3265,tcp,altav-tunnel
3266,udp,ns-cfg-server
3266,tcp,ns-cfg-server
3267,udp,ibm-dial-out
3267,tcp,ibm-dial-out
3268,udp,msft-gc
3268,tcp,msft-gc
3269,udp,msft-gc-ssl
3269,tcp,msft-gc-ssl
3270,udp,verismart
3270,tcp,verismart
3271,udp,csoft-prev
3271,tcp,csoft-prev
3272,udp,user-manager
3272,tcp,user-manager
3273,udp,sxmp
3273,tcp,sxmp
3274,udp,ordinox-server
3274,tcp,ordinox-server
3275,udp,samd
3275,tcp,samd
3276,udp,maxim-asics
3276,tcp,maxim-asics
3277,udp,awg-proxy
3277,tcp,awg-proxy
3278,udp,lkcmserver
3278,tcp,lkcmserver
3279,udp,admind
3279,tcp,admind
3280,udp,vs-server
3280,tcp,vs-server
3281,udp,sysopt
3281,tcp,sysopt
3282,udp,datusorb
3282,tcp,datusorb
3283,udp,net-assistant
3283,tcp,net-assistant
3284,udp,4talk
3284,tcp,4talk
3285,udp,plato
3285,tcp,plato
3286,udp,e-net
3286,tcp,e-net
3287,udp,directvdata
3287,tcp,directvdata
3288,udp,cops
3288,tcp,cops
3289,udp,enpc
3289,tcp,enpc
3290,udp,caps-lm
3290,tcp,caps-lm
3291,udp,sah-lm
3291,tcp,sah-lm
3292,udp,cart-o-rama
3292,tcp,cart-o-rama
3293,udp,fg-fps
3293,tcp,fg-fps
3294,udp,fg-gip
3294,tcp,fg-gip
3295,udp,dyniplookup
3295,tcp,dyniplookup
3296,udp,rib-slm
3296,tcp,rib-slm
3297,udp,cytel-lm
3297,tcp,cytel-lm
3298,udp,deskview
3298,tcp,deskview
3299,udp,pdrncs
3299,tcp,pdrncs
3302,udp,mcs-fastmail
3302,tcp,mcs-fastmail
3303,udp,opsession-clnt
3303,tcp,opsession-clnt
3304,udp,opsession-srvr
3304,tcp,opsession-srvr
3305,udp,odette-ftp
3305,tcp,odette-ftp
3306,udp,mysql
3306,tcp,mysql
3307,udp,opsession-prxy
3307,tcp,opsession-prxy
3308,udp,tns-server
3308,tcp,tns-server
3309,udp,tns-adv
3309,tcp,tns-adv
3310,udp,dyna-access
3310,tcp,dyna-access
3311,udp,mcns-tel-ret
3311,tcp,mcns-tel-ret
3312,udp,appman-server
3312,tcp,appman-server
3313,udp,uorb
3313,tcp,uorb
3314,udp,uohost
3314,tcp,uohost
3315,udp,cdid
3315,tcp,cdid
3316,udp,aicc-cmi
3316,tcp,aicc-cmi
3317,udp,vsaiport
3317,tcp,vsaiport
3318,udp,ssrip
3318,tcp,ssrip
3319,udp,sdt-lmd
3319,tcp,sdt-lmd
3320,udp,officelink2000
3320,tcp,officelink2000
3321,udp,vnsstr
3321,tcp,vnsstr
3326,udp,sftu
3326,tcp,sftu
3327,udp,bbars
3327,tcp,bbars
3328,udp,egptlm
3328,tcp,egptlm
3329,udp,hp-device-disc
3329,tcp,hp-device-disc
3330,udp,mcs-calypsoicf
3330,tcp,mcs-calypsoicf
3331,udp,mcs-messaging
3331,tcp,mcs-messaging
3332,udp,mcs-mailsvr
3332,tcp,mcs-mailsvr
3333,udp,dec-notes
3333,tcp,dec-notes
3334,udp,directv-web
3334,tcp,directv-web
3335,udp,directv-soft
3335,tcp,directv-soft
3336,udp,directv-tick
3336,tcp,directv-tick
3337,udp,directv-catlg
3337,tcp,directv-catlg
3338,udp,anet-b
3338,tcp,anet-b
3339,udp,anet-l
3339,tcp,anet-l
3340,udp,anet-m
3340,tcp,anet-m
3341,udp,anet-h
3341,tcp,anet-h
3342,udp,webtie
3342,tcp,webtie
3343,udp,ms-cluster-net
3343,tcp,ms-cluster-net
3344,udp,bnt-manager
3344,tcp,bnt-manager
3345,udp,influence
3345,tcp,influence
3346,udp,trnsprntproxy
3346,tcp,trnsprntproxy
3347,udp,phoenix-rpc
3347,tcp,phoenix-rpc
3348,udp,pangolin-laser
3348,tcp,pangolin-laser
3349,udp,chevinservices
3349,tcp,chevinservices
3350,udp,findviatv
3350,tcp,findviatv
3351,udp,btrieve
3351,tcp,btrieve
3352,udp,ssql
3352,tcp,ssql
3353,udp,fatpipe
3353,tcp,fatpipe
3354,udp,suitjd
3354,tcp,suitjd
3355,udp,ordinox-dbase
3355,tcp,ordinox-dbase
3356,udp,upnotifyps
3356,tcp,upnotifyps
3357,udp,adtech-test
3357,tcp,adtech-test
3358,udp,mpsysrmsvr
3358,tcp,mpsysrmsvr
3359,udp,wg-netforce
3359,tcp,wg-netforce
3360,udp,kv-server
3360,tcp,kv-server
3361,udp,kv-agent
3361,tcp,kv-agent
3362,udp,dj-ilm
3362,tcp,dj-ilm
3363,udp,nati-vi-server
3363,tcp,nati-vi-server
3364,udp,creativeserver
3364,tcp,creativeserver
3365,udp,contentserver
3365,tcp,contentserver
3366,udp,creativepartnr
3366,tcp,creativepartnr
3372,udp,tip2
3372,tcp,tip2
3373,udp,lavenir-lm
3373,tcp,lavenir-lm
3374,udp,cluster-disc
3374,tcp,cluster-disc
3375,udp,vsnm-agent
3375,tcp,vsnm-agent
3376,udp,cdbroker
3376,tcp,cdbroker
3377,udp,cogsys-lm
3377,tcp,cogsys-lm
3378,udp,wsicopy
3378,tcp,wsicopy
3379,udp,socorfs
3379,tcp,socorfs
3380,udp,sns-channels
3380,tcp,sns-channels
3381,udp,geneous
3381,tcp,geneous
3382,udp,fujitsu-neat
3382,tcp,fujitsu-neat
3383,udp,esp-lm
3383,tcp,esp-lm
3384,udp,hp-clic
3384,tcp,hp-clic
3385,udp,qnxnetman
3385,tcp,qnxnetman
3386,udp,gprs-sig
3386,tcp,gprs-data
3387,udp,backroomnet
3387,tcp,backroomnet
3388,udp,cbserver
3388,tcp,cbserver
3389,udp,ms-wbt-server
3389,tcp,ms-wbt-server
3390,udp,dsc
3390,tcp,dsc
3391,udp,savant
3391,tcp,savant
3392,udp,efi-lm
3392,tcp,efi-lm
3393,udp,d2k-tapestry1
3393,tcp,d2k-tapestry1
3394,udp,d2k-tapestry2
3394,tcp,d2k-tapestry2
3395,udp,dyna-lm
3395,tcp,dyna-lm
3396,udp,printer_agent
3396,tcp,printer_agent
3397,udp,cloanto-lm
3397,tcp,cloanto-lm
3398,udp,mercantile
3398,tcp,mercantile
3399,udp,csms
3399,tcp,csms
3400,udp,csms2
3400,tcp,csms2
3401,udp,filecast
3401,tcp,filecast
3402,udp,fxaengine-net
3402,tcp,fxaengine-net
3403,udp,copysnap
3403,tcp,copysnap
3405,udp,nokia-ann-ch1
3405,tcp,nokia-ann-ch1
3406,udp,nokia-ann-ch2
3406,tcp,nokia-ann-ch2
3407,udp,ldap-admin
3407,tcp,ldap-admin
3408,udp,issapi
3408,tcp,issapi
3409,udp,networklens
3409,tcp,networklens
3410,udp,networklenss
3410,tcp,networklenss
3411,udp,biolink-auth
3411,tcp,biolink-auth
3412,udp,xmlblaster
3412,tcp,xmlblaster
3413,udp,svnet
3413,tcp,svnet
3414,udp,wip-port
3414,tcp,wip-port
3415,udp,bcinameservice
3415,tcp,bcinameservice
3416,udp,commandport
3416,tcp,commandport
3417,udp,csvr
3417,tcp,csvr
3418,udp,rnmap
3418,tcp,rnmap
3419,udp,softaudit
3419,tcp,softaudit
3420,udp,ifcp-port
3420,tcp,ifcp-port
3421,udp,bmap
3421,tcp,bmap
3422,udp,rusb-sys-port
3422,tcp,rusb-sys-port
3423,udp,xtrm
3423,tcp,xtrm
3424,udp,xtrms
3424,tcp,xtrms
3425,udp,agps-port
3425,tcp,agps-port
3426,udp,arkivio
3426,tcp,arkivio
3427,udp,websphere-snmp
3427,tcp,websphere-snmp
3428,udp,twcss
3428,tcp,twcss
3429,udp,gcsp
3429,tcp,gcsp
3430,udp,ssdispatch
3430,tcp,ssdispatch
3431,udp,ndl-als
3431,tcp,ndl-als
3432,udp,osdcp
3432,tcp,osdcp
3433,udp,alta-smp
3433,tcp,alta-smp
3434,udp,opencm
3434,tcp,opencm
3435,udp,pacom
3435,tcp,pacom
3436,udp,gc-config
3436,tcp,gc-config
3437,udp,autocueds
3437,tcp,autocueds
3438,udp,spiral-admin
3438,tcp,spiral-admin
3439,udp,hri-port
3439,tcp,hri-port
3440,udp,ans-console
3440,tcp,ans-console
3441,udp,connect-client
3441,tcp,connect-client
3442,udp,connect-server
3442,tcp,connect-server
3443,udp,ov-nnm-websrv
3443,tcp,ov-nnm-websrv
3444,udp,denali-server
3444,tcp,denali-server
3445,udp,monp
3445,tcp,monp
3446,udp,3comfaxrpc
3446,tcp,3comfaxrpc
3447,udp,cddn
3447,tcp,cddn
3448,udp,dnc-port
3448,tcp,dnc-port
3449,udp,hotu-chat
3449,tcp,hotu-chat
3450,udp,castorproxy
3450,tcp,castorproxy
3451,udp,asam
3451,tcp,asam
3452,udp,sabp-signal
3452,tcp,sabp-signal
3453,udp,pscupd
